Ensamblador,Muestra,Total,Completos
SPAdes,SRR34971513,752624,113281
SPAdes,SRR34971512,694493,87052
SPAdes,SRR34971508,545215,98014
SPAdes,SRR34971509,526213,81430
SPAdes,SRR34971511,1551152,186214
SPAdes,SRR34971514,569655,115047
SPAdes,SRR34971516,1690227,181013
SPAdes,SRR34971515,617312,92824
SPAdes,SRR34971510,691628,124278
MEGAHIT,SRR34971508,570989,107183
MEGAHIT,SRR34971513,531776,113316
MEGAHIT,SRR34971509,554964,82344
MEGAHIT,SRR34971511,1044253,179534
MEGAHIT,SRR34971516,1231173,168598
MEGAHIT,SRR34971515,708811,99423
MEGAHIT,SRR34971510,723293,128207
MEGAHIT,SRR34971512,481148,86085
MEGAHIT,SRR34971514,517468,122594
