Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
NODE_10003_length_3288_cov_3.091247_2	-	CE1(153-388)	CE1_e22(163-386)	CBM48+CE0	3	CE1_e22	-
NODE_100090_length_523_cov_2.232906_1	-	-	-	GH186	1	-	-
NODE_100104_length_523_cov_2.143162_1	-	-	-	GH15	1	-	-
NODE_100132_length_523_cov_1.948718_2	-	GT28(2-91)	GT28_e48(1-92)	-	2	GT28_e48	-
NODE_10018_length_3284_cov_27.869309_1	-	GT2(5-149)	GT2(1-212)	GT2	3	GT2	-
NODE_1001_length_22017_cov_41.958884_6	-	-	-	GH18	1	-	-
NODE_100210_length_523_cov_1.420940_1	-	GH179(3-173)	-	-	1	-	-
NODE_100293_length_522_cov_3.732334_1	-	GH19_1(18-153)	GH19_e100(18-173)	GH19_1	3	GH19_1	-
NODE_100294_length_522_cov_3.653105_2	-	GT2(5-94)	GT2(7-96)	-	2	GT2	-
NODE_100318_length_522_cov_2.650964_2	-	GH24(24-135)	GH24_e282(25-135)	-	2	GH24_e282	peptidoglycan
NODE_10034_length_3281_cov_3.282083_2	2.4.1.131:1	-	GT4_e1364(342-486)	GT4	2	GT4_e1364	-
NODE_100381_length_522_cov_1.927195_1	3.2.1.-:8;3.5.1.-:8	-	CE4_e321(1-77)	-	1	-	-;peptidoglycan
NODE_10039_length_3279_cov_3.483871_1	-	-	-	GH28	1	-	-
NODE_1003_length_21992_cov_9.141314_4	-	GT2(11-171)	GT2(12-174)	GT2	3	GT2	-
NODE_1003_length_21992_cov_9.141314_5	-	-	-	GT83	1	-	-
NODE_1003_length_21992_cov_9.141314_7	2.4.2.43:13	GT83(4-511)	GT83_e0(8-514)	GT83	3	GT83_e0	-
NODE_10040_length_3279_cov_3.069169_1	-	GT2(387-550)	GT2(388-550)	GT2	3	GT2	-
NODE_100444_length_522_cov_1.423983_1	-	-	-	GH3	1	-	-
NODE_1004_length_21975_cov_51.289279_18	-|-	-	CBM50_e950(31-72)+CBM50_e950(99-141)	-	1	-	chitin
NODE_1004_length_21975_cov_51.289279_20	-|-	-	CBM50_e950(33-73)+CBM50_e950(91-132)	CBM50	2	CBM50_e950|CBM50_e950	chitin
NODE_10052_length_3275_cov_11.161180_3	-	GT2(57-231)	GT2(58-233)	GT2	3	GT2	-
NODE_10055_length_3275_cov_3.243789_4	-	-	-	GH13_40+GH13_40	1	-	-
NODE_100585_length_521_cov_2.364807_1	4.2.2.2:23	PL1_6(1-170)	PL1_e68(1-173)	PL1_6	3	PL1_6	pectin
NODE_10062_length_3273_cov_3.624612_2	-	-	-	GT4	1	-	-
NODE_100700_length_521_cov_1.457082_1	3.2.1.10:2	GH13_40(5-172)	GH13_e151(4-172)	GH13_40	3	GH13_40	alpha-glucan
NODE_10071_length_3270_cov_3.696734_3	-	-	GT2(15-153)	GT2	2	GT2	-
NODE_100736_length_521_cov_1.216738_1	-	-	-	GT2	1	-	-
NODE_1007_length_21937_cov_18.553149_15	-	AA4(43-248)	-	GH3	2	AA4	-
NODE_1007_length_21937_cov_18.553149_19	-	-	-	GH47	1	-	-
NODE_1007_length_21937_cov_18.553149_21	-	-	-	GH36	1	-	-
NODE_10085_length_3266_cov_3.526627_1	-	GT81(117-322)	GT81_e1(117-321)	GT81	3	GT81_e1	-
NODE_100881_length_520_cov_2.225806_1	3.2.1.1:4;3.2.1.141:34	-	CBM48_e0(3-99)	CBM48+GH13_10	2	CBM48_e0	alpha-glucan
NODE_10088_length_3265_cov_4.552648_2	-	-	-	GH13_3	1	-	-
NODE_1008_length_21915_cov_163.544648_2	-	-	AA12_e3(64-281)	-	1	-	polyphenol
NODE_100902_length_520_cov_2.043011_2	3.2.1.17:2	GH24(31-123)	GH24_e104(32-124)	-	2	GH24_e104	peptidoglycan
NODE_10090_length_3265_cov_3.484424_1	-	-	-	GT0	1	-	-
NODE_100941_length_520_cov_1.763441_1	2.4.1.129:10	GT51(1-103)	GT51_e0(1-103)	-	2	GT51_e0	-
NODE_100953_length_520_cov_1.634409_1	-	-	GH24_e98(1-61)	-	1	-	peptidoglycan
NODE_10096_length_3263_cov_3.017456_2	-	-	-	GH18+CBM5+CBM5	1	-	-
NODE_100_length_72346_cov_6.293342_13	-	-	-	GT33	1	-	-
NODE_100_length_72346_cov_6.293342_26	-	-	-	GH5_12+GH5_12	1	-	-
NODE_100_length_72346_cov_6.293342_7	-	-	-	CE5	1	-	-
NODE_101035_length_520_cov_1.111828_2	-	-	GH23_e666(12-88)	-	1	-	-
NODE_10105_length_3260_cov_6.101404_2	3.2.1.93:2	GH13_29(16-358)	GH13_e1(17-358)	GH13_29	3	GH13_29	trehalose
NODE_1010_length_21838_cov_171.791259_20	3.2.1.-:3	GH73(156-293)	GH73_e114(158-292)	GH73	3	GH73_e114	peptidoglycan
NODE_101118_length_519_cov_2.799569_1	-	-	-	GH2_10	1	-	-
NODE_10116_length_3257_cov_4.356652_3	-	GH186(44-348)	-	GH186	2	GH186	-
NODE_101179_length_519_cov_2.224138_1	-	-	-	GT2+GT4	1	-	-
NODE_101227_length_519_cov_1.862069_1	-	-	-	GH31_3	1	-	-
NODE_10125_length_3252_cov_3.973413_2	-	-	-	GT4	1	-	-
NODE_1012_length_21773_cov_25.159085_15	-	GT51(65-242)	GT51_e77(67-243)	GT51	3	GT51_e77	-
NODE_1012_length_21773_cov_25.159085_2	-	CE9(33-365)	CE9_e83(26-366)	CE9	3	CE9_e83	host glycan
NODE_1012_length_21773_cov_25.159085_4	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(53-396)	GH13_e122(53-397)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_101329_length_519_cov_1.312500_1	-	GT2(6-168)	GT2(7-169)	-	2	GT2	-
NODE_101368_length_518_cov_130.177106_1	3.2.1.4:13;3.2.1.6:2;3.2.1.73:1	GH8(2-166)	GH8_e29(1-169)	GH8	3	GH8_e29	beta-glucan;cellulose
NODE_101382_length_518_cov_4.920086_1	4.2.2.n1:8	-	GH23_e734(1-58)	-	1	-	-
NODE_101391_length_518_cov_3.766739_1	3.2.1.14:1	-	CBM5_e67(41-86)	-	1	-	chitin
NODE_10139_length_3247_cov_16.941103_2	-	-	-	CBM48+GH13_9	1	-	-
NODE_1013_length_21728_cov_41.877174_16	-	-	-	GH47	1	-	-
NODE_101443_length_518_cov_2.453564_1	3.2.1.15:4	GH28(1-171)	GH28_e120(3-172)	-	2	GH28_e120	pectin
NODE_10148_length_3245_cov_2.743260_3	-	-	-	GT121	1	-	-
NODE_1014_length_21707_cov_17.273693_18	-	-	-	GT4	1	-	-
NODE_1014_length_21707_cov_17.273693_6	-	CE1(184-396)	-	-	1	-	-
NODE_1014_length_21707_cov_17.273693_8	-	-	-	GT1	1	-	-
NODE_101513_length_518_cov_1.846652_1	3.2.1.106:3	-	GH63_e0(5-133)	-	1	-	host glycan
NODE_101536_length_518_cov_1.751620_2	-	-	GT2(8-58)	-	1	-	-
NODE_101541_length_518_cov_1.706263_1	-	-	GH77_e32(2-163)	-	1	-	alpha-glucan
NODE_101560_length_518_cov_1.613391_1	-	-	GT2(27-144)	-	1	-	-
NODE_101578_length_518_cov_1.436285_1	-	-	GT1_e246(3-120)	-	1	-	-
NODE_101589_length_518_cov_1.382289_1	-	-	-	GH13_26	1	-	-
NODE_1015_length_21707_cov_15.939451_21	-|-	-	GT2(369-450)+GT4_e3747(729-840)	GT0+GT2	2	GT2|GT4_e3747	-
NODE_1015_length_21707_cov_15.939451_7	-	GT2(44-221)	GT2(41-353)	GT2	3	GT2	-
NODE_1016_length_21695_cov_19.266266_18	-	-	-	GT4	1	-	-
NODE_1016_length_21695_cov_19.266266_6	-	CE1(185-399)	-	-	1	-	-
NODE_1016_length_21695_cov_19.266266_8	-	-	-	GT1	1	-	-
NODE_10172_length_3240_cov_4.702041_2	-	-	-	GH92	1	-	-
NODE_101796_length_517_cov_1.846320_1	-	-	GT2(2-70)	GT2+GT4	2	GT2	-
NODE_101818_length_517_cov_1.645022_1	3.2.1.40:3	-	GH78_e0(1-169)	-	1	-	alpha-rhamnoside
NODE_10184_length_3238_cov_3.282438_1	-	-	-	GH17+GT48	1	-	-
NODE_101854_length_517_cov_1.432900_1	-	-	-	GT4	1	-	-
NODE_1018_length_21652_cov_43.681206_6	-	-	-	GT27	1	-	-
NODE_101929_length_516_cov_15.295011_1	2.4.99.-:1	GT112(4-171)	GT112_e1(3-171)	GT112	3	GT112_e1	-
NODE_101940_length_516_cov_8.082430_1	2.4.99.-:1	GT112(4-171)	GT112_e1(3-171)	GT112	3	GT112_e1	-
NODE_101945_length_516_cov_4.917570_1	-	-	GT2(2-78)	GT2	2	GT2	-
NODE_10195_length_3233_cov_60.179043_3	-|-|-	-	GH23_e819(1-132)+CBM50_e657(230-270)+CBM50_e338(287-329)	CBM50+GH23	2	GH23_e819|CBM50_e657|CBM50_e338	chitin
NODE_101_length_72098_cov_41.267604_33	-	-	-	GH0	1	-	-
NODE_101_length_72098_cov_41.267604_6	-	CE1(23-288)	-	-	1	-	-
NODE_10200_length_3233_cov_4.541536_1	-	-	-	GH37	1	-	-
NODE_102056_length_516_cov_1.963124_1	2.4.99.-:11	GT9(8-144)	GT9_e71(1-138)	-	2	GT9_e71	-
NODE_1020_length_21625_cov_12.242837_3	-	-	-	GT2	1	-	-
NODE_1020_length_21625_cov_12.242837_4	-	-	-	GT2	1	-	-
NODE_1020_length_21625_cov_12.242837_5	-	-	-	GT4	1	-	-
NODE_10212_length_3230_cov_3.381732_3	-	-	-	GT1	1	-	-
NODE_102206_length_516_cov_0.919740_1	3.2.1.37:21;3.2.1.55:3;3.2.1.-:1	GH43_11(1-171)	GH43_e285(1-171)	CBM91+GH43_11	3	GH43_11	arabinan;xylan
NODE_102243_length_515_cov_3.419565_1	-	-	GH24_e77(25-118)	-	1	-	peptidoglycan
NODE_1022_length_21604_cov_7.665089_11	-	-	-	GH65	1	-	-
NODE_1022_length_21604_cov_7.665089_6	-	-	-	CBM50	1	-	-
NODE_102321_length_515_cov_2.123913_1	4.2.2.n1:10	-	GH103_e0(73-171)	-	1	-	peptidoglycan
NODE_102338_length_515_cov_2.021739_1	-	-	-	GT4	1	-	-
NODE_10237_length_3221_cov_5.139608_1	-	-	-	GH13	1	-	-
NODE_10239_length_3221_cov_3.897031_1	-	-	-	GT2	1	-	-
NODE_10239_length_3221_cov_3.897031_2	-	-	-	AA9	1	-	-
NODE_102414_length_515_cov_1.552174_1	-	-	-	GT122	1	-	-
NODE_10246_length_3219_cov_14.541087_1	-	-	-	GH1	1	-	-
NODE_102514_length_514_cov_3.899782_1	-	GT2(11-134)	GT2(12-144)	GT2+GT4	3	GT2	-
NODE_10251_length_3217_cov_8.605946_4	-	-	-	GT2	1	-	-
NODE_102530_length_514_cov_3.089325_1	-	CE4(3-82)	CE4_e95(4-83)	-	2	CE4_e95	-
NODE_102561_length_514_cov_2.483660_1	-	-	-	GT4	1	-	-
NODE_10256_length_3217_cov_3.371917_1	-	-	-	GT2	1	-	-
NODE_10257_length_3216_cov_43.835495_1	-	-	-	GH13_23	1	-	-
NODE_1025_length_21568_cov_28.408497_12	-	-	-	GT119	1	-	-
NODE_1025_length_21568_cov_28.408497_13	-	GT119(20-363)	-	GT119	2	GT119	-
NODE_1025_length_21568_cov_28.408497_14	-	-	-	GT119	1	-	-
NODE_1025_length_21568_cov_28.408497_21	-	-	-	GH13_26	1	-	-
NODE_10266_length_3214_cov_4.226971_1	-	-	-	GH105	1	-	-
NODE_10270_length_3213_cov_3.662445_3	-	-	-	GH5_12	1	-	-
NODE_102721_length_514_cov_1.344227_1	3.5.1.25:23	CE9(3-169)	CE9_e0(2-170)	-	2	CE9_e0	host glycan
NODE_10274_length_3212_cov_3.096294_1	-	-	-	CE1	1	-	-
NODE_1027_length_21547_cov_265.890657_13	2.4.1.129:12	GT51(64-239)	GT51_e130(65-240)	GT51	3	GT51_e130	-
NODE_102825_length_513_cov_2.888646_1	3.2.1.93:2	GH13_29(5-169)	GH13_e1(5-169)	GH13_29	3	GH13_29	trehalose
NODE_102834_length_513_cov_2.744541_1	-	-	GH36_e8(4-171)	GH36	2	GH36_e8	-
NODE_102879_length_513_cov_2.189956_1	-	-	-	CBM48+GH13_11	1	-	-
NODE_10288_length_3208_cov_28.647320_3	2.4.99.-:1	GT112(73-458)	GT112_e1(76-458)	GT112	3	GT112_e1	-
NODE_1028_length_21509_cov_21.770206_14	-	GH186(36-217)	-	GH186	2	GH186	-
NODE_1028_length_21509_cov_21.770206_15	-	-	GT2(140-478)	GT2	2	GT2	-
NODE_1028_length_21509_cov_21.770206_2	-|-	-	GT2(101-319)+GT4_e978(593-710)	GT2+GT4	2	GT2|GT4_e978	-
NODE_1028_length_21509_cov_21.770206_3	-	-	-	GT2+GT4	1	-	-
NODE_102913_length_513_cov_1.960699_1	2.4.1.80:3;2.4.1.-:1	GT21(1-131)	GT21_e21(1-131)	-	2	GT21_e21	-
NODE_102914_length_513_cov_1.951965_1	-	-	-	GT4	1	-	-
NODE_10292_length_3208_cov_2.736441_4	-	-	-	GH0	1	-	-
NODE_102942_length_513_cov_1.814410_1	-	GH130_3(2-171)	GH130_e9(1-171)	GH130_3+GH130_3	3	GH130_3	beta-mannan
NODE_102943_length_513_cov_1.805677_1	-	GH13_33(1-171)	GH13_e179(1-171)	GH13_33	3	GH13_33	-
NODE_102970_length_513_cov_1.609170_1	2.4.99.-:1	-	GT107_e2(8-158)	-	1	-	-
NODE_102971_length_513_cov_1.604803_1	-	-	-	GT83	1	-	-
